,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10,,,,,,,,,,SE-ITS-8,Gestión de mantenimiento de la infraestructura,Complementario ISO 14813,,SUB-08,TES (Traffic Enforcement System),Cumplimiento y Seguridad,"(Seguridad Vial): Gestión de radares pedagógicos, control de velocidad por tramos y recolección de evidencia.",,F-08,Procesamiento de datos de ubicación de los vehículos,Los datos de ubicación del vehículo se procesan y agregan como datos de operación del vehículo.,,CC-08,GMS-I,Inclinometría Geotécnica,Vigilancia de Estabilidad de Suelos: Capacidad de detectar movimientos en taludes para prevenir obstrucciones por deslizamientos.
11,,,,,,,,,,SE-ITS-9,Gestión de emergencias y desastres,Complementario ISO 14813,,SUB-09,ESS-M (Environmental Sensor Management),Gestión Ambiental,"Procesamiento de clima, visibilidad, calidad del aire y niveles de inundación (Humedales Funza).",,F-09,Recepción de informes de estado del tráfico,Los operadores de los centros de control ingresan información al recibir informes de estado del tráfico.,,CC-09,SMS / SBT,Monitoreo de Estructuras,Evaluación de Salud Estructural: Capacidad de monitorear tensiones en cables (Torones) y fatiga en puentes y obras de arte.
12,,,,,,,,,,SE-ITS-10,Gestión de la demanda de transporte,Complementario ISO 14813,,SUB-10,ESB (Enterprise Service Bus),Bus de Integración (SB),(Sist. Nervioso): Middleware de interoperabilidad que garantiza el flujo de datos entre todos los subsistemas.,,F-10,Filmación de video,La situación de campo se filma utilizando CCTV.,,CC-10,WLS,Monitoreo Hídrico,Detección de Riesgo Hidrológico: Capacidad de alertar sobre niveles críticos de agua en calzada y cauces de Ríos.
13,,,,,,,,,,SE-ITS-11,Información de viaje multimodal,Complementario ISO 14813,,SUB-11,BIM-DT (Digital Twin Framework),Gemelo Digital (DT),(Conciencia): Visualización 3D (LOD 500) para análisis predictivo y gestión estratégica de la operación.,,F-11,Recopilación y análisis de datos de tráfico,"Los datos de varias fuentes se recopilan y analizan exhaustivamente. Determinación del estado del flujo de tráfico, producción del tiempo de viaje de la sección, etc.",,CC-11,AVI / ETC,Peajes Electrónicos,Automatización de Transacciones: Capacidad de procesar cobros de tasa de uso sin detener el movimiento vehicular.
14,,,,,,,,,,,,,,SUB-12,NMS (Network Management System),Gestión de Red y Ciber,"Supervisión de la salud de la fibra óptica, nodos industriales y protocolos de seguridad informática.",,F-12,Producción de información de flujo de tráfico,"La información de tráfico que se proporcionará a las agencias relevantes o se mostrará en VMS, sitios web, aplicaciones, etc. se produce de acuerdo con las estrategias de provisión de información.",,CC-12,ALPR / LPR,Reconocimiento de Placas,"Identificación Vehicular Automática: Capacidad de reconocer placas para gestión de seguridad, multas y trazabilidad."
15,,,,,,,,,,,,,,,,,,,F-13,Monitoreo de las condiciones del tráfico,El operador monitorea las condiciones del flujo de tráfico utilizando videos e información de flujo de tráfico.,,CC-13,SPD,Radar Pedagógico,Gestión del Comportamiento Vial: Capacidad de inducir hábitos de velocidad segura mediante interacción visual en tiempo real.
16,,,,,,,,,,,,,,,,,,,F-14,Visualización de información de flujo de tráfico,La información del flujo de tráfico y los datos de video se muestran en los medios de suministro de información.,,CC-14,VSL,Velocidad Variable,Control Dinámico de Límites: Capacidad de ajustar la velocidad permitida según las condiciones de seguridad o congestión.
17,,,,,,,,,,,,,,,,,,,F-15,Interfaz de viajero,Las consultas y preguntas son ingresadas por los viajeros y se muestra la información solicitada por los viajeros.,,CC-15,TCS,Control de Túneles,Gestión de Entornos Confinados: Capacidad de operar sistemas de Ventilación e iluminación en infraestructuras cerradas.
18,,,,,,,,,,,,,,,,,,,F-16,Organización de planes de viaje,"La información para ayudar a los viajeros a tomar decisiones relacionadas con la hora de salida, los medios de transporte, el viaje y rutas alternas se produce en base a las solicitudes de los viajeros.",,CC-16,EVCS,Electrolineras,Soporte a la Movilidad Sostenible: Capacidad de proveer infraestructura de carga para la transición a vehículos eléctricos.
19,,,,,,,,,,,,,,,,,,,F-17,Cálculo de ruta óptima para viajeros,Se calcula la ruta óptima desde el punto de partida del viajero hasta el destino.,,CC-17,PAS,Megafonía Inteligente,Notificación Audible de Alcance: Capacidad de emitir instrucciones de voz masivas en puntos críticos o zonas de alta concentración.
20,,,,,,,,,,,,,,,,,,,F-18,Suministro de información para viajeros,Se integran datos adicionales y datos de tráfico para proporcionar la información solicitada por los viajeros.,,CC-18,BCS / VRU,Contador de Ciclistas,Cuantificación de Movilidad Alternativa: Capacidad de medir y proteger el flujo de usuarios no motorizados (ciclistas/peatones).
21,,,,,,,,,,,,,,,,,,,F-19,Suministro de información para conductores,Se integran datos adicionales y datos de tráfico para proporcionar la información por los conductores.,,CC-19,UAS / UAV,Drones de Inspección,Reconocimiento Aéreo Remoto: Capacidad de inspeccionar activos y eventos en puntos de difícil acceso o alta peligrosidad.
22,,,,,,,,,,,,,,,,,,,F-20,El reconocimiento de dispositivo de control en el vehículo,"Mediante este dispositivo, se reconoce la ubicación actual del vehículo.",,CC-20,VIS / LGS,Gestión de Iluminación,Control Adaptativo de Visibilidad: Capacidad de ajustar la intensidad lumínica según la luz natural y la opacidad del aire.
23,,,,,,,,,,,,,,,,,,,F-21,Interfaz de controlador,"Herramienta a través de la cual, las consultas y preguntas son ingresadas por los conductores y la información solicitada por ellos es desplegada.",,CC-21,CSG / IoT,Ciberseguridad e IoT,Protección de la Integridad Digital: Capacidad de blindar los datos y gestionar dispositivos inteligentes de forma segura.
24,,,,,,,,,,,,,,,,,,,F-22,Cálculo de ruta óptima para conductores,Ruta óptima desde la ubicación actual del conductor hasta el destino.,,CC-22,PSV,Seguridad Ciudadana,Protección Civil Integrada: Capacidad de enlazar sistemas de video y pánico con entes de seguridad pública y policía.
25,,,,,,,,,,,,,,,,,,,F-23,Gestión de inventario de activos viales,El centro detecta los “siniestros” mediante CCTV,,CC-23,FOC,Conectividad de Fibra,Transporte de Datos de Alta Fidelidad: Capacidad de garantizar la comunicación fluida y robusta (incluye fibra de emergencia).
26,,,,,,,,,,,,,,,,,,,F-24,Monitoreo del estado de la infraestructura,Cualquier “siniestro” reportado o detectado por el centro es confirmado por el operador.,,CC-24,RCS,Comunicación Radial,Respaldo de Enlace Operativo: Capacidad de mantener comunicación con equipos de campo ante fallas de la red digital.
27,,,,,,,,,,,,,,,,,,,F-25,Programación de mantenimiento preventivo,El centro genera información (filmaciones y registro de “siniestros”) relacionada con “siniestros” confirmados.,,CC-25,SME,Gestión de Medios Sociales,Omnicanalidad Digital: Capacidad de integrar Redes Sociales y analítica web como sensores y canales de respuesta al usuario.
28,,,,,,,,,,,,,,,,,,,F-26,Análisis de patrones de flujo y demanda,El operador controla el progreso del “siniestro” mediante CCTV.,,CC-26,RSU,Comunicación V2X,Conectividad con Vehículos Inteligentes: Capacidad de intercambiar datos técnicos con la nueva generación de vehículos conectados.
29,,,,,,,,,,,,,,,,,,,F-27,Implementación de estrategias de control de demanda,Las contramedidas o el nivel de respuesta se determinan de acuerdo con la contra estrategia y el escenario establecido.,,CC-27,AVL / OBU,Control de Flota,Gestión Logística de Auxilio: Capacidad de rastrear y despachar eficientemente recursos de Ambulancia y Grúa.
30,,,,,,,,,,,,,,,,,,,F-28,Ejecución de planes de desvío dinámico,El nivel de respuesta se determina en función de la contra estrategia establecida y los mensajes de control se proporcionan a través de los medios de información.,,CC-28,PGS,Gestión de Parqueaderos,Optimización de Zonas de Servicio: Capacidad de guiar al usuario hacia plazas disponibles en estacionamientos y áreas de descanso.
31,,,,,,,,,,,,,,,,,,,F-29,Detección de la velocidad de los vehículos que pasan,"Los datos procesados se almacenan, gestionan y utilizan.",,CC-29,SLP,Iluminación Solar,Autonomía Energética Sostenible: Capacidad de proveer alumbrado en vía mediante Paneles Solares y fuentes renovables.
32,,,,,,,,,,,,,,,,,,,F-30,Determinación de violación de límite de velocidad,Los datos recopilados se procesan y analizan para generar los datos necesarios para la administración de los autobuses.,,CC-30,LHD,Detección de Incendio,Identificación Térmica Lineal: Capacidad de detectar fuego de forma inmediata a lo largo de infraestructuras críticas y túneles.
33,,,,,,,,,,,,,,,,,,,F-31,Función de disparo (detector),Gestión de nodo / sistema de enlace,,CC-31,AQM,Calidad del Aire,Vigilancia del Impacto Ambiental: Capacidad de medir la concentración de gases y partículas derivados de la operación vial.
34,,,,,,,,,,,,,,,,,,,F-32,Función de captura de imágenes fijas,"La información como el error, el estado operativo del BIT, etc. se recopila y transmite al centro.",,CC-32,WAR,Sala de Crisis,Comando y Control de Alto Impacto: Capacidad de centralizar la gestión de datos e IoT ante eventos de gran escala o emergencias.
35,,,,,,,,,,,,,,,,,,,F-33,Función de recorte de imagen fija,La información relacionada con la operación recopilada se muestra en los medios de visualización en BIT.,,CC-33,LCS / SIG,Control de Carril,"Gestión Táctica de Calzada: Capacidad de habilitar, cerrar o revertir carriles mediante Semáforos y señalización dinámica."
36,,,,,,,,,,,,,,,,,,,F-34,Reconocimiento del número de placa,La información relacionada con la operación procesada en el centro es recibida por BIT.,,CC-34,PSS,Postes y Estructuras,Sustentación Física del Equipamiento: Capacidad de soportar de forma segura y normalizada todo el hardware tecnológico en vía.
37,,,,,,,,,,,,,,,,,,,F-35,Transmisión al centro,Conexión remota y función de control para materializar lo que necesita el centro en función de la información de estado operativo BIT transmitida al centro.,,CC-35,UPS / EPS,Respaldo Energético,Garantía de Continuidad Operativa: Capacidad de mantener el sistema encendido ante interrupciones del suministro eléctrico público.
38,,,,,,,,,,,,,,,,,,,F-36,Búsqueda del historial del vehículo,"La longitud del ciclo semafórico, la longitud de la fase de las diferentes direcciones, la longitud de división y el enclavamiento se ingresan en función del plan de tiempo de la señal de semáforo.",,CC-36,V2X-H,Nodos de Enlace Híbrido,Conectividad Vehicular Ubicua: Capacidad de asegurar el flujo de datos entre la vía y el vehículo incluso en zonas de sombra celular.
39,,,,,,,,,,,,,,,,,,,F-37,Cálculo de la sanción,"Mediante esta funcionalidad, la fase de la señal tráfico de entrada para diferentes planes puede modificarse.",,CC-37,WDA,Detección de Fauna,Mitigación de Riesgo Biótico: Capacidad de identificar el cruce de animales para prevenir siniestros y proteger la biodiversidad.
40,,,,,,,,,,,,,,,,,,,F-38,Procesamiento de datos,Los grupos de intersección se gestionan para aplicar el plan de fase semafórica y el enclavamiento.,,CC-38,ADS,Estación de Drones,Supervisión Automatizada Programada: Capacidad de desplegar patrullajes aéreos autónomos para inspección de activos críticos.
41,,,,,,,,,,,,,,,,,,,F-39,Emisión de aviso,Se gestiona el historial de estado operativo del controlador y el detector.,,CC-39,MSG,Micro-Red Inteligente,Resiliencia Energética Local: Capacidad de gestionar generación renovable propia para desvincular la operación de la red nacional.
42,,,,,,,,,,,,,,,,,,,F-40,Notificación de vehículo con alguna alerta,Se transmiten los planes de fase para descargar al controlador.,,CC-40,D-TWN,Nodos de Gemelo Digital,Mantenimiento Predictivo Inmersivo: Capacidad de alimentar el modelo 3D con datos de sensores para anticipar fallas estructurales.
43,,,,,,,,,,,,,,,,,,,F-41,Gestión de datos recopilados,Se reciben los registros de operación generados por el controlador y los resultados de la inspección del controlador.,,CC-41,E-LOG,Gestión de Carga Crítica,Priorización de Logística Estratégica: Capacidad de monitorear y dar paso preferente a suministros vitales (alimentos/medicina).
44,,,,,,,,,,,,,,,,,,,F-42,Monitoreo de la condición del controlador,Se gestionan los registros de operación de señal de semáforo recopilados del controlador.,,CC-42,SAT-B,Respaldo Satelital,Inmunidad ante Desconexión Terrestre: Capacidad de mantener el 100% de la conectividad mediante satélites ante fallas de la fibra óptica.
45,,,,,,,,,,,,,,,,,,,F-43,Ajuste de umbral,El monitoreo se realiza para ver si los grupos de intersección están realmente enclavados de acuerdo con el registro de operación de la señal recopilada y el tiempo de sincronización.,,,,,
46,,,,,,,,,,,,,,,,,,,F-44,Gestión integrada de datos de tráfico,"El centro, que cumple con la condición, activa las señales e implementa módulos de acuerdo con el tiempo de la señal descargada.",,,,,
47,,,,,,,,,,,,,,,,,,,F-45,Gestión de datos adicionales,"Cuando se necesita control especial o control manual, el personal operativo en el campo puede ajustar las señales de semáforo.",,,,,
48,,,,,,,,,,,,,,,,,,,F-46,Interfaz de controlador,El control de actuación de la fase se determina en función de la información recopilada por el detector.,,,,,
49,,,,,,,,,,,,,,,,,,,F-47,Suministro de información para conductores,"Cuando se cumple la condición de control de actuación, la fase del flujo de movimiento se termina antes de tiempo o se omite.",,,,,
50,,,,,,,,,,,,,,,,,,,F-48,Búsqueda y recolección relacionada con la operación del estacionamiento combinado del centro de transporte,El control de actuación finaliza cuando existe una condición para dicha finalización.,,,,,
51,,,,,,,,,,,,,,,,,,,F-49,Producción y búsqueda de registros de operaciones integradas,Se producen resultados de control de actuación.,,,,,
52,,,,,,,,,,,,,,,,,,,F-50,Informe de la situación de los eventos en el centro de transporte combinado,"Cuando no es posible comunicarse con el centro, las señales se operan según un plan de tiempo de señal preestablecido.",,,,,
53,,,,,,,,,,,,,,,,,,,F-51,Comprobación del requisito de la fecha de entrada de la puerta,Se genera el estado detallado de cada operación de señal (incluido el control de actuación).,,,,,
54,,,,,,,,,,,,,,,,,,,F-52,Establecimiento de un plan de viaje,Los datos de actuación de la señal de tráfico se transmiten realmente a unidades de señal de tráfico individuales.,,,,,
55,,,,,,,,,,,,,,,,,,,F-53,Cálculo de ruta óptima,"Cuando el controlador funciona mal, todas las señales parpadearán.",,,,,
56,,,,,,,,,,,,,,,,,,,F-54,Suministro de información para conductores,El plan de tiempo necesario se puede ingresar en el campo en caso de falla de comunicación.,,,,,
57,,,,,,,,,,,,,,,,,,,F-55,Identificación de la ubicación del vehículo,Se establece el tiempo de referencia.,,,,,
58,,,,,,,,,,,,,,,,,,,F-56,Transmisión de información del vehículo,El controlador inspecciona internamente los problemas de los componentes.,,,,,
59,,,,,,,,,,,,,,,,,,,F-57,Recolección de información del vehículo,Se recibe el plan de tiempo de señal establecido por el centro.,,,,,
60,,,,,,,,,,,,,,,,,,,F-58,Seguimiento de la ubicación del vehículo,Los resultados de la inspección del controlador se transmiten al centro.,,,,,
61,,,,,,,,,,,,,,,,,,,F-59,Recolección de datos meteorológicos,Los resultados de control de actuación informados (resultados de visualización de fase de señal) se transmiten al centro.,,,,,
62,,,,,,,,,,,,,,,,,,,F-60,Procesamiento de datos meteorológicos,Los registros de operación de la señal generada se transmiten al centro.,,,,,
63,,,,,,,,,,,,,,,,,,,F-61,Monitoreo de condiciones ambientales,Se recogen los pasos de vehículos en la carretera con detector.,,,,,
64,,,,,,,,,,,,,,,,,,,F-62,Difusión de información meteorológica y ambiental,La información recopilada del vehículo se transmite al controlador.,,,,,
65,,,,,,,,,,,,,,,,,,,F-63,Suministro de información de conexión multimodal,El tiempo de señal del controlador se muestra realmente en las unidades de señal de tráfico.,,,,,
66,,,,,,,,,,,,,,,,,,,F-64,Interfaz de planificación de viaje y transferencia,"Se reciben informes de “siniestros” de comunicadores SOS instalados en la ruta, teléfonos de emergencia, patrulleros, informantes, empresas privadas (Wave), etc.",,,,,
67,,,,,,,,,,,,,,,,,,,F-65,Recepción del informe del accidente de tránsito,"Visualización de la información generada por el centro relacionada con la información de operación, como el intervalo entre el vehículo y los vehículos adyacentes y las horas totales de operación, etc.",,,,,
68,,,,,,,,,,,,,,,,,,,F-66,Detección de accidentes de tránsito,"Visualización de información de ""siniestros"" alrededor del vehículo recopilada por centro.",,,,,
69,,,,,,,,,,,,,,,,,,,F-67,Confirmación de accidentes de tránsito,"Si se identifica cualquier operación en violación de la ley usando la información del evento transmitido a la central del vehículo, la información de alerta aparece en el conductor "" dispositivo terminal.",,,,,
70,,,,,,,,,,,,,,,,,,,F-68,Generación de información sobre accidentes de tránsito,"Se recibe diversa información procesada por el centro y mostrada en los dispositivos terminales de los conductores (información de operación, información de ""siniestros"", información de operación de violación, etc.).",,,,,
71,,,,,,,,,,,,,,,,,,,F-69,Monitoreo del progreso del accidente de tránsito,"Se recopila la información de ubicación del vehículo, la información del evento, la información de operación del vehículo, etc. proporcionada por los vehículos.",,,,,
72,,,,,,,,,,,,,,,,,,,F-70,Determinación de contramedidas,Las ubicaciones de todos los vehículos se identifican utilizando la información de operación recopilada de los vehículos.,,,,,
73,,,,,,,,,,,,,,,,,,,F-71,Gestión del flujo de tráfico,Cualquier vehículo que opere en violación de la ley se detecta en función de la información de operación recopilada del vehículo.,,,,,
74,,,,,,,,,,,,,,,,,,,F-72,Manejo de accidentes de tránsito,"El ""siniestro"" de cualquier vehículo se detecta en función de la información del evento recopilada del vehículo.",,,,,
75,,,,,,,,,,,,,,,,,,,F-73,Cooperación con agencia relacionada,Los vehículos se despachan según sea necesario analizando la información relacionada con la operación recopilada.,,,,,
76,,,,,,,,,,,,,,,,,,,F-74,Confirmación al cierre del caso accidente de tránsito,"Cuando se cambian las rutas del autobús, la información de la ruta se actualiza.",,,,,
77,,,,,,,,,,,,,,,,,,,F-75,Producción de informes sobre accidentes de tránsito,"La información procesada, como la ubicación del autobús en tiempo real, el tiempo estimado de llegada, los vehículos detectados mientras operan en violación de la ley, la respuesta a ""siniestros"", etc., se proporciona a los autobuses, el tablero de situación y el BIT.",,,,,
78,,,,,,,,,,,,,,,,,,,F-76,Coordinación interinstitucional de emergencias,Se despacha personal para el manejo de “siniestros”.,,,,,
79,,,,,,,,,,,,,,,,,,,F-77,Gestión de planes de contingencia,La información relacionada con el “siniestro” se proporciona a la agencia relacionada. La solicitud de manejo (cooperación) se envía a la agencia relacionada.,,,,,
80,,,,,,,,,,,,,,,,,,,F-78,Difusión de alertas de emergencia y protección civil,El operador confirma la finalización del manejo del “siniestro” utilizando CCTV.,,,,,
81,,,,,,,,,,,,,,,,,,,F-79,Detección de vehículos que pasan,Los sistemas de campo transmiten la información de los vehículos que pasan por la estación.,,,,,
82,,,,,,,,,,,,,,,,,,,F-80,Reconocimiento de vehículos,"Cuando el vehículo se acerca, la estación comienza la comunicación usando la etiqueta RFID. Después de la transmisión de la información de identificación, el estado (normal / anormal) del vehículo se identifica localmente en la plaza de peaje. Normal: el saldo de peaje se verifica en la estación o banco. Anormal: el paso del vehículo se bloquea con una barrera.",,,,,
83,,,,,,,,,,,,,,,,,,,F-81,Detección de identificación del dispositivo terminal,Los vehículos sin dispositivo (TAG RFID) se detectan en función de la información de paso del vehículo y la información del dispositivo del vehículo.,,,,,
84,,,,,,,,,,,,,,,,,,,F-82,Clasificación del tipo de vehículo,Se clasifican los tipos de vehículos que ingresan al carril de peaje.,,,,,
85,,,,,,,,,,,,,,,,,,,F-83,Gestión de ingreso de información del vehículo,La información de los vehículos que ingresan se almacena y administra.,,,,,
86,,,,,,,,,,,,,,,,,,,F-84,Filmación de vehículos que pasan,"Cuando se detecta un vehículo que pasa, se filma su imagen fija.",,,,,
87,,,,,,,,,,,,,,,,,,,F-85,Comunicación con la estación,"Toda la información recopilada en el campo (información recopilada de dispositivos terminales, información de paso de vehículos (detector), información de imágenes fijas de vehículos que pasan, información de procesamiento de peajes) se transmite a la estación.",,,,,
88,,,,,,,,,,,,,,,,,,,F-86,Peaje,"Si se determina que existe suficiente saldo, basado en la tarifa aplicable al peaje, entonces se cobra el valor normalmente sin enviar una consulta al intermediario. Dos grandes comportamientos se pueden dar: Normal: la estación completa el cobro del peaje del vehículo, la información de procesamiento del cobro del peaje se transmite al intermediario, la información del cobro del peaje se transmite al sistema integrado de peajes (SIGT), y posteriormente una vez el intermediario actualiza su sistema, la estación actualiza la información del saldo. Anormal: la estación identifica y transmite la información del saldo al intermediario para verificar si se puede cobrar el peaje, el banco verifica la información del saldo e informa si hay saldo suficiente, la estación recolecta el peaje y actualiza la información del saldo.",,,,,
89,,,,,,,,,,,,,,,,,,,F-87,Visualización del resultado del procesamiento,"El resultado del cobro de peaje se muestra en el sistema de campo (normal, anormal).",,,,,
90,,,,,,,,,,,,,,,,,,,F-88,Gestión de datos de peaje,Gestión de datos normales (información de imposición y recopilación procesada normalmente) y gestión de datos anormales (información de peajes no cobrados).,,,,,
91,,,,,,,,,,,,,,,,,,,F-89,Búsqueda de vehículos,Se busca a la persona propietaria del vehículo que tenga una alerta comparando la base de datos de registro del vehículo y el número de placa del vehículo.,,,,,
92,,,,,,,,,,,,,,,,,,,F-90,Notificación de peaje impago,"Se emite a la persona propietaria del vehículo una notificación de peaje impago, incluida la identificación de la estación, la fecha y la hora del peaje, el número del vehículo, el motivo del incumplimiento, el peaje pagadero, etc.",,,,,
93,,,,,,,,,,,,,,,,,,,F-91,Manejo de datos,Se gestionan los datos del historial de cobro de peajes.,,,,,
94,,,,,,,,,,,,,,,,,,,F-92,Gestión del sistema,Se gestiona la información de estado de los sistemas recopilados en el sitio.,,,,,
95,,,,,,,,,,,,,,,,,,,F-93,Recolección de información de operación del vehículo,"Se recopila información como conducir con las puertas abiertas, el estado anormal del vehículo, etc. (basado los sensores).",,,,,
96,,,,,,,,,,,,,,,,,,,F-94,Recolección de información del evento,Se recopila información de los eventos que tienen lugar dentro de los vehículos (basado en el informe de los conductores).,,,,,
97,,,,,,,,,,,,,,,,,,,F-95,Recolección de información de ubicación del vehículo,"Se recopilan la identificación del bus, la ubicación del bus (GPS), el tiempo de transmisión, etc.",,,,,
98,,,,,,,,,,,,,,,,,,,F-96,Transmisión de información,"La información recopilada de los vehículos, como la información de operación del vehículo, la información del evento, la información de ubicación del vehículo, etc., se transmite al centro.",,,,,
99,,,,,,,,,,,,,,,,,,,F-97,Visualización de información de operación,"Visualización de la información generada por el centro relacionada con la información de operación, como el intervalo entre el vehículo y los vehículos adyacentes y las horas totales de operación, etc.",,,,,
100,,,,,,,,,,,,,,,,,,,F-98,Visualización de accidentes de tránsito,Visualización de información de accidentes de tránsito alrededor del vehículo recopilada por centro.,,,,,
